Player,Pos,Age,Team,MinutesPlayed,FGpct,FTpct,TwoPointAttempt,TwoPointPct,ThreePointAttempt,ThreePointPct,twos_per_min
Ish Smith,PG,33,TOT,1126,0.43,0.625,363,0.441,67,0.373,0.32238010657193605
Lamar Stevens,PF,24,CLE,1015,0.489,0.707,254,0.543,65,0.277,0.25024630541871923
Isaiah Stewart,C,20,DET,1816,0.51,0.718,444,0.529,46,0.326,0.2444933920704846
Max Strus,SF,25,MIA,1587,0.441,0.792,122,0.557,442,0.41,0.07687460617517328
Jae'Sean Tate,PF,26,HOU,2056,0.498,0.707,527,0.569,202,0.312,0.25632295719844356
Jayson Tatum,SF,23,BOS,2731,0.453,0.853,913,0.524,651,0.353,0.3343097766385939
Garrett Temple,SG,35,NOP,1098,0.376,0.683,110,0.473,185,0.319,0.10018214936247723
Cam Thomas,SG,20,BRK,1176,0.433,0.829,329,0.52,174,0.27,0.27976190476190477
Matisse Thybulle,SG,24,PHI,1685,0.5,0.791,156,0.673,144,0.313,0.09258160237388724
Obi Toppin,PF,23,NYK,1230,0.531,0.758,304,0.655,169,0.308,0.24715447154471545
Juan Toscano-Anderson,SF,28,GSW,994,0.489,0.571,148,0.588,87,0.322,0.1488933601609658
Karl-Anthony Towns,C,26,MIN,2476,0.529,0.822,848,0.58,366,0.41,0.34248788368336025
Gary Trent Jr.,SG,23,TOR,2448,0.414,0.853,541,0.445,545,0.383,0.22099673202614378
P.J. Tucker,PF,36,MIA,1981,0.484,0.738,235,0.54,193,0.415,0.11862695608278648
Jonas Valančiūnas,C,29,NOP,2240,0.544,0.82,780,0.581,158,0.361,0.3482142857142857
Jarred Vanderbilt,PF,22,MIN,1880,0.587,0.656,347,0.605,14,0.143,0.18457446808510639
Fred VanVleet,PG,27,TOR,2462,0.403,0.874,455,0.44,642,0.377,0.18480909829406986
Devin Vassell,SF,21,SAS,1937,0.427,0.838,384,0.492,380,0.361,0.1982447083118224
Gabe Vincent,PG,25,MIA,1589,0.417,0.815,190,0.5,323,0.368,0.11957205789804909
Nikola Vučević,C,31,CHI,2418,0.473,0.76,823,0.537,331,0.314,0.3403639371381307
Franz Wagner,SF,20,ORL,2429,0.468,0.863,704,0.511,271,0.354,0.28983120625771924
Moritz Wagner,C,24,ORL,960,0.497,0.806,195,0.672,201,0.328,0.203125
Lonnie Walker IV,SG,23,SAS,1612,0.407,0.784,411,0.487,353,0.314,0.25496277915632753
P.J. Washington,C,23,CHO,1768,0.47,0.716,231,0.606,301,0.365,0.13065610859728508
Russell Westbrook,PG,33,LAL,2678,0.444,0.667,968,0.485,265,0.298,0.3614637789395071
Coby White,PG,21,CHI,1675,0.433,0.857,291,0.491,353,0.385,0.17373134328358208
Derrick White,SG,27,TOT,2199,0.421,0.864,431,0.515,369,0.312,0.1959981809913597
Hassan Whiteside,C,32,UTA,1162,0.652,0.623,330,0.652,0,NA,0.28399311531841653
Andrew Wiggins,SF,26,GSW,2330,0.466,0.634,620,0.513,399,0.393,0.26609442060085836
Grant Williams,PF,23,BOS,1875,0.475,0.905,174,0.569,258,0.411,0.0928
Robert Williams,C,24,BOS,1804,0.736,0.722,367,0.738,1,0,0.20343680709534367
Ziaire Williams,SF,20,MEM,1346,0.45,0.782,182,0.632,242,0.314,0.1352154531946508
Christian Wood,C,26,HOU,2094,0.501,0.623,542,0.57,336,0.39,0.2588347659980898
Delon Wright,SG,29,ATL,1452,0.454,0.857,153,0.51,116,0.379,0.10537190082644628
Trae Young,PG,23,ATL,2652,0.46,0.904,934,0.512,610,0.382,0.3521870286576169
Ivica Zubac,C,24,LAC,1852,0.626,0.727,495,0.626,0,NA,0.26727861771058314
