Indicator,short_name,Subgroup,time_period_label,time_period_start_date,Value,LowCI,HighCI
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Sep 16 - Sep 28, 2020",2020-09-16,6.2,5.4,7.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Sep 16 - Sep 28, 2020",2020-09-16,3.8,3.1,4.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Sep 16 - Sep 28, 2020",2020-09-16,3.6,2.3,5.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Sep 16 - Sep 28, 2020",2020-09-16,23.8,22,25.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Sep 16 - Sep 28, 2020",2020-09-16,24.8,23.6,26
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Sep 16 - Sep 28, 2020",2020-09-16,24.1,23,25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Sep 16 - Sep 28, 2020",2020-09-16,23.5,22.4,24.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Sep 16 - Sep 28, 2020",2020-09-16,22.6,21.3,23.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Sep 16 - Sep 28, 2020",2020-09-16,17.5,16.1,19
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Sep 16 - Sep 28, 2020",2020-09-16,14.9,12.1,18
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Sep 16 - Sep 28, 2020",2020-09-16,18.5,17.1,20
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Sep 16 - Sep 28, 2020",2020-09-16,14.6,13.5,15.8
