Indicator,short_name,Subgroup,time_period_label,time_period_start_date,Value,LowCI,HighCI
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Jan 20 - Feb 1, 2021",2021-01-20,5.6,5.1,6.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Jan 20 - Feb 1, 2021",2021-01-20,3,2.4,3.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Jan 20 - Feb 1, 2021",2021-01-20,2.9,1.6,4.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Feb 3 - Feb 15, 2021",2021-02-03,20.8,18.9,22.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Feb 3 - Feb 15, 2021",2021-02-03,21.3,20.2,22.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Feb 3 - Feb 15, 2021",2021-02-03,21.4,19.9,22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Feb 3 - Feb 15, 2021",2021-02-03,21.5,20.4,22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Feb 3 - Feb 15, 2021",2021-02-03,21.7,20.5,22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Feb 3 - Feb 15, 2021",2021-02-03,18,16.7,19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Feb 3 - Feb 15, 2021",2021-02-03,13.8,10.9,17.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Feb 3 - Feb 15, 2021",2021-02-03,16.1,14.4,17.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Feb 3 - Feb 15, 2021",2021-02-03,15.5,14.2,16.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Feb 3 - Feb 15, 2021",2021-02-03,11.4,10.1,12.8
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Feb 3 - Feb 15, 2021",2021-02-03,8.4,7.6,9.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Feb 3 - Feb 15, 2021",2021-02-03,6.3,5.6,7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Feb 3 - Feb 15, 2021",2021-02-03,3.7,3.2,4.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Feb 3 - Feb 15, 2021",2021-02-03,2.8,1.8,4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Feb 3 - Feb 15, 2021",2021-02-03,27,25.2,28.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Feb 3 - Feb 15, 2021",2021-02-03,27.7,26.2,29.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Feb 3 - Feb 15, 2021",2021-02-03,25.5,23.9,27.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Feb 3 - Feb 15, 2021",2021-02-03,24.2,23,25.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Feb 3 - Feb 15, 2021",2021-02-03,23.3,22,24.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Feb 3 - Feb 15, 2021",2021-02-03,19.2,17.9,20.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Feb 3 - Feb 15, 2021",2021-02-03,15,12,18.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Feb 3 - Feb 15, 2021",2021-02-03,21.8,19.6,24.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Feb 3 - Feb 15, 2021",2021-02-03,16.5,15.3,17.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Feb 3 - Feb 15, 2021",2021-02-03,11.4,10.4,12.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Feb 3 - Feb 15, 2021",2021-02-03,9.5,8.4,10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Feb 3 - Feb 15, 2021",2021-02-03,6.4,5.7,7.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Feb 3 - Feb 15, 2021",2021-02-03,3.1,2.6,3.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Feb 3 - Feb 15, 2021",2021-02-03,2.4,1.5,3.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Feb 17 - Mar 1, 2021",2021-02-17,20.6,18.3,23
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Feb 17 - Mar 1, 2021",2021-02-17,21.9,20.2,23.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Feb 17 - Mar 1, 2021",2021-02-17,22.7,21.6,23.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Feb 17 - Mar 1, 2021",2021-02-17,22.9,21.3,24.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Feb 17 - Mar 1, 2021",2021-02-17,20.4,19.2,21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Feb 17 - Mar 1, 2021",2021-02-17,18.2,16.7,19.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Feb 17 - Mar 1, 2021",2021-02-17,15.1,11,20
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Feb 17 - Mar 1, 2021",2021-02-17,15.4,13.6,17.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Feb 17 - Mar 1, 2021",2021-02-17,15.2,14.2,16.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Feb 17 - Mar 1, 2021",2021-02-17,11.8,10.8,12.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Feb 17 - Mar 1, 2021",2021-02-17,9.5,8.3,10.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Feb 17 - Mar 1, 2021",2021-02-17,5.8,5.2,6.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Feb 17 - Mar 1, 2021",2021-02-17,4,3.5,4.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Feb 17 - Mar 1, 2021",2021-02-17,1.4,0.9,2.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Feb 17 - Mar 1, 2021",2021-02-17,26.5,24.2,28.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Feb 17 - Mar 1, 2021",2021-02-17,27.7,26,29.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Feb 17 - Mar 1, 2021",2021-02-17,26.6,25.4,27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Feb 17 - Mar 1, 2021",2021-02-17,25.7,24,27.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Feb 17 - Mar 1, 2021",2021-02-17,21.8,20.7,22.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Feb 17 - Mar 1, 2021",2021-02-17,19.3,17.8,21
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Feb 17 - Mar 1, 2021",2021-02-17,15.7,11.5,20.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Feb 17 - Mar 1, 2021",2021-02-17,22.2,20.1,24.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Feb 17 - Mar 1, 2021",2021-02-17,15.9,14.3,17.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Feb 17 - Mar 1, 2021",2021-02-17,13.7,12.4,15
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Feb 17 - Mar 1, 2021",2021-02-17,10,8.7,11.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Feb 17 - Mar 1, 2021",2021-02-17,6.2,5.4,7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Feb 17 - Mar 1, 2021",2021-02-17,3.4,2.8,4.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Feb 17 - Mar 1, 2021",2021-02-17,2.6,1.5,4.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Mar 3 - Mar 15, 2021",2021-03-03,21.9,19.5,24.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Mar 3 - Mar 15, 2021",2021-03-03,23.2,21.5,24.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Mar 3 - Mar 15, 2021",2021-03-03,21.4,20,22.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Mar 3 - Mar 15, 2021",2021-03-03,21.7,20.5,22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Mar 3 - Mar 15, 2021",2021-03-03,20.6,19.2,22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Mar 3 - Mar 15, 2021",2021-03-03,17.5,15.8,19.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Mar 3 - Mar 15, 2021",2021-03-03,16,10.2,23.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Mar 3 - Mar 15, 2021",2021-03-03,17.4,15.5,19.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Mar 3 - Mar 15, 2021",2021-03-03,15.1,13.9,16.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Mar 3 - Mar 15, 2021",2021-03-03,11.1,10.1,12
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Mar 3 - Mar 15, 2021",2021-03-03,9.4,8.7,10.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Mar 3 - Mar 15, 2021",2021-03-03,5.5,4.7,6.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Mar 3 - Mar 15, 2021",2021-03-03,3.7,3.2,4.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Mar 3 - Mar 15, 2021",2021-03-03,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Mar 3 - Mar 15, 2021",2021-03-03,28.5,26,31
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Mar 3 - Mar 15, 2021",2021-03-03,28.9,27.2,30.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Mar 3 - Mar 15, 2021",2021-03-03,25.2,23.7,26.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Mar 3 - Mar 15, 2021",2021-03-03,24.4,23.2,25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Mar 3 - Mar 15, 2021",2021-03-03,22.1,20.7,23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Mar 3 - Mar 15, 2021",2021-03-03,18.6,16.9,20.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Mar 3 - Mar 15, 2021",2021-03-03,17.1,11.1,24.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Mar 3 - Mar 15, 2021",2021-03-03,20.7,18.5,23.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Mar 3 - Mar 15, 2021",2021-03-03,17.2,16.1,18.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Mar 3 - Mar 15, 2021",2021-03-03,12.5,11.5,13.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Mar 3 - Mar 15, 2021",2021-03-03,9.5,8.7,10.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Mar 3 - Mar 15, 2021",2021-03-03,6.1,5.4,7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Mar 3 - Mar 15, 2021",2021-03-03,3.1,2.4,3.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Mar 3 - Mar 15, 2021",2021-03-03,5.6,2.8,9.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Mar 17 - Mar 29, 2021",2021-03-17,19.5,17.3,21.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Mar 17 - Mar 29, 2021",2021-03-17,22,20.5,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Mar 17 - Mar 29, 2021",2021-03-17,22.2,21,23.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Mar 17 - Mar 29, 2021",2021-03-17,22,20.7,23.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Mar 17 - Mar 29, 2021",2021-03-17,19.8,18.6,21
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Mar 17 - Mar 29, 2021",2021-03-17,17.1,15.8,18.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Mar 17 - Mar 29, 2021",2021-03-17,17,13.1,21.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Mar 17 - Mar 29, 2021",2021-03-17,14.2,12.5,16.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Mar 17 - Mar 29, 2021",2021-03-17,14.9,13.6,16.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Mar 17 - Mar 29, 2021",2021-03-17,12.8,11.6,14
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Mar 17 - Mar 29, 2021",2021-03-17,8.8,8,9.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Mar 17 - Mar 29, 2021",2021-03-17,5.6,5.1,6.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Mar 17 - Mar 29, 2021",2021-03-17,4,3.3,4.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Mar 17 - Mar 29, 2021",2021-03-17,2.7,1.6,4.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Mar 17 - Mar 29, 2021",2021-03-17,25.1,22.4,27.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Mar 17 - Mar 29, 2021",2021-03-17,27.2,25.6,29
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Mar 17 - Mar 29, 2021",2021-03-17,26.7,25.4,28
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Mar 17 - Mar 29, 2021",2021-03-17,24.5,23.2,25.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Mar 17 - Mar 29, 2021",2021-03-17,21.4,20.1,22.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Mar 17 - Mar 29, 2021",2021-03-17,18,16.6,19.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Mar 17 - Mar 29, 2021",2021-03-17,18,14.2,22.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Mar 17 - Mar 29, 2021",2021-03-17,20.5,18.4,22.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Mar 17 - Mar 29, 2021",2021-03-17,15.9,14.3,17.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Mar 17 - Mar 29, 2021",2021-03-17,12.4,11.2,13.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Mar 17 - Mar 29, 2021",2021-03-17,8.8,7.9,9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Mar 17 - Mar 29, 2021",2021-03-17,6.1,5.3,6.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Mar 17 - Mar 29, 2021",2021-03-17,3.2,2.8,3.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Mar 17 - Mar 29, 2021",2021-03-17,2.7,1.3,5.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Apr 14 - Apr 26, 2021",2021-04-14,21.8,19.2,24.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Apr 14 - Apr 26, 2021",2021-04-14,20.4,19.1,21.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Apr 14 - Apr 26, 2021",2021-04-14,22.8,21.1,24.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Apr 14 - Apr 26, 2021",2021-04-14,22.3,20.8,23.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Apr 14 - Apr 26, 2021",2021-04-14,21.1,19.9,22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Apr 14 - Apr 26, 2021",2021-04-14,19.2,17.2,21.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Apr 14 - Apr 26, 2021",2021-04-14,14.7,11.4,18.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Apr 14 - Apr 26, 2021",2021-04-14,17.5,15.2,19.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Apr 14 - Apr 26, 2021",2021-04-14,13.7,12.4,15.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Apr 14 - Apr 26, 2021",2021-04-14,11.6,10.5,12.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Apr 14 - Apr 26, 2021",2021-04-14,7.8,7.1,8.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Apr 14 - Apr 26, 2021",2021-04-14,5.5,4.9,6.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Apr 14 - Apr 26, 2021",2021-04-14,4,3.2,4.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Apr 14 - Apr 26, 2021",2021-04-14,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Apr 14 - Apr 26, 2021",2021-04-14,29.2,26.5,32
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Apr 14 - Apr 26, 2021",2021-04-14,25.6,24.2,27.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Apr 14 - Apr 26, 2021",2021-04-14,26.3,24.4,28.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Apr 14 - Apr 26, 2021",2021-04-14,24.7,23.2,26.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Apr 14 - Apr 26, 2021",2021-04-14,22.7,21.4,24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Apr 14 - Apr 26, 2021",2021-04-14,20.2,18.2,22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Apr 14 - Apr 26, 2021",2021-04-14,15.3,11.9,19.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Mar 30 - Apr 13, 2021",2021-03-30,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Apr 14 - Apr 26, 2021",2021-04-14,19.3,17.1,21.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Apr 14 - Apr 26, 2021",2021-04-14,13.8,12.6,15.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Apr 14 - Apr 26, 2021",2021-04-14,10.5,9.4,11.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Apr 14 - Apr 26, 2021",2021-04-14,8.3,7.4,9.3
